System,Mass Code,System Stars,Primary Star Type,Primary Star Spectral Class,Primary Star Luminosity,Primary Star Age,Parent Star,Parent Star Type,Parent Star Spectral Class,Parent Star Luminosity,Parent Star Age,Parent Body,Parent Body Type,Parent Landable,Parent Terraformable,Planet Name,Landable,Orbit Type,Type,Rings,RingTypes,Arrival Distance,Terraforming State,Radius,Earth Masses,Surface Gravity,Surface Temperature,Surface Pressure,Volcanism,Atmosphere,Axial Tilt,Rotational Period,Tidally Locked,Orbital Period,Semi-major Axis,Orbital Eccentricity,Orbital Inclination,Arg. of Periapsis,Mean Anomaly,Longitude of Ascending Node,Coord X,Coord Y,Coord Z,Timestamp
Flyoo Prao AC-S d5-4,D,single,F (White) Star,F6,Vb,3108,Flyoo Prao AC-S d5-4,F (White) Star,F6,Vb,3108,Flyoo Prao AC-S d5-4,F (White) Star,,,Flyoo Prao AC-S d5-4 4,no,planetary,Water world,0,"",911.5314941406,Candidate for terraforming,3561.439,0.1753029972,0.5622214079,266,0.019982842092,No volcanism,Thin Carbon dioxide-rich,-0.448297,0.513032198715,no,739.178841036783,1.818785443421,0.004488,-0.077233,299.657512,,,22092.7,-130.344,40401.8,2022-02-22 03:42:08
Flyoo Prao AC-T d4-2,D,single,F (White) Star,F1,Vab,1560,Flyoo Prao AC-T d4-2,F (White) Star,F1,Vab,1560,Flyoo Prao AC-T d4-2,F (White) Star,,,Flyoo Prao AC-T d4-2 4,no,planetary,Water world,1,"Rocky (1)",3348.890625,Not terraformable,13595.539,8.6326141357,1.8998464346,276,2163.38696274365,Water Geysers,Thick Argon-rich,0.363317,1.539049845359,no,4244.11810106701,6.12499226524,0.18351,164.278067,8.067901,,,21732.4,-432.031,40364.4,2022-08-26 04:16:44
Flyoo Prao AC-T d4-4,D,multiple,A (Blue-White) Star,A8,VI,1466,Flyoo Prao AC-T d4-4 A,A (Blue-White) Star,A8,VI,1466,Flyoo Prao AC-T d4-4 A,A (Blue-White) Star,,,Flyoo Prao AC-T d4-4 A 4,no,planetary,Water world,0,"",1566.8492431641,Not terraformable,6828.2165,1.4819389582,1.292959094,434,9.177830002467,Minor Metallic Magma,Thick Ammonia,-0.306684,1.707876157662,no,1566.09983079965,3.140025627093,7e-05,0.611119,14.640446,,,21742.8,-449.688,40353.1,2022-08-26 04:23:59
Flyoo Prao AC-T d4-4,D,multiple,A (Blue-White) Star,A8,VI,1466,Flyoo Prao AC-T d4-4 A,A (Blue-White) Star,A8,VI,1466,Flyoo Prao AC-T d4-4 A,A (Blue-White) Star,,,Flyoo Prao AC-T d4-4 A 5,no,planetary,Water world,0,"",2313.1977539063,Not terraformable,7875.6215,2.4600110054,1.6133790016,330,14.362717739946,Metallic Magma,Thick Ammonia,2.656686,0.659505469468,no,131.031118885231,0.003310447773,0.074985,-2.108936,180.940696,,,21742.8,-449.688,40353.1,2022-08-26 04:23:34
Flyoo Prao AC-T d4-4,D,multiple,A (Blue-White) Star,A8,VI,1466,Flyoo Prao AC-T d4-4 A,A (Blue-White) Star,A8,VI,1466,Flyoo Prao AC-T d4-4 A,A (Blue-White) Star,,,Flyoo Prao AC-T d4-4 A 6,no,planetary,Water world,0,"",2309.1904296875,Not terraformable,6212.6205,1.049546957,1.1061685085,315,7.106289168517,Major Rocky Magma,Thick Ammonia,-0.26261,156.506426043333,no,131.031118885231,0.007759286914,0.074985,-2.108936,0.940701,,,21742.8,-449.688,40353.1,2022-08-26 04:23:41
Flyoo Prao AD-H d11-0,D,multiple,A (Blue-White) Star,A9,Vb,1172,Flyoo Prao AD-H d11-0 A,A (Blue-White) Star,A9,Vb,1172,Flyoo Prao AD-H d11-0 A,A (Blue-White) Star,,,Flyoo Prao AD-H d11-0 A 5,no,planetary,Water world,0,"",1748.6806640625,Not terraformable,8323.812,2.9580230713,1.7367049456,448,11.183894645941,Major Silicate Vapour Geysers,Thick Water-rich,-0.415243,1.807940513275,no,1848.92111078461,3.507499668113,0.001933,0.00121,68.734693,,,21856.2,-265.531,40931.4,2022-05-29 17:09:15
Flyoo Prao AD-H d11-2,D,multiple,A (Blue-White) Star,A5,Vb,930,Flyoo Prao AD-H d11-2 A,A (Blue-White) Star,A5,Vb,930,Flyoo Prao AD-H d11-2 A,A (Blue-White) Star,,,Flyoo Prao AD-H d11-2 A 8,no,planetary,Water world,0,"",3013.1303710938,Not terraformable,5987.236,0.9487910271,1.0766804218,310,6.45434739699,Major Rocky Magma,Thick Ammonia,0.473399,0.667167327593,no,4113.13034042164,6.059277966055,0.004936,-1.564062,248.43499,,,21922.7,-318.844,40881.1,2022-05-29 17:13:20
Flyoo Prao AD-H d11-3,D,single,F (White) Star,F1,Vb,914,Flyoo Prao AD-H d11-3,F (White) Star,F1,Vb,914,Flyoo Prao AD-H d11-3,F (White) Star,,,Flyoo Prao AD-H d11-3 5,no,planetary,Water world,0,"",1400.8065185547,Candidate for terraforming,5746.805,0.8259090185,1.0172982216,375,6.536777078707,Major Rocky Magma,Thick Ammonia,0.288122,1.746116712708,no,1309.11081753391,2.807698188236,0.000179,4.9e-05,31.234752,,,21855.2,-266.906,40874.2,2022-05-29 17:15:04
Flyoo Prao AD-H d11-4,D,single,F (White) Star,F2,Vb,1200,Flyoo Prao AD-H d11-4,F (White) Star,F2,Vb,1200,Flyoo Prao AD-H d11-4,F (White) Star,,,Flyoo Prao AD-H d11-4 1,no,planetary,Water world,0,"",1307.1098632813,Candidate for terraforming,7698.578,2.2318520546,1.5318399668,390,14.623082901554,Minor Metallic Magma,Thick Ammonia,0.469497,1.422129709387,no,1229.48977406377,2.619754338721,0.000125,-0.01883,110.353512,,,21868.9,-265.219,40882.9,2022-05-29 17:21:51
Flyoo Prao AD-H d11-4,D,single,F (White) Star,F2,Vb,1200,Flyoo Prao AD-H d11-4,F (White) Star,F2,Vb,1200,Flyoo Prao AD-H d11-4,F (White) Star,,,Flyoo Prao AD-H d11-4 2,no,planetary,Water world,0,"",1684.9487304688,Candidate for terraforming,8277.7845,2.9127008915,1.7291660309,343,16.029946952874,Major Silicate Vapour Geysers,Thick Ammonia,1.687969,0.520806691655,no,1799.93099084607,3.377649141112,0.000305,0.091528,179.093195,,,21868.9,-265.219,40882.9,2022-05-29 17:18:55
Flyoo Prao AE-F c0,C,multiple,K (Yellow-Orange) Star,K9,Va,12893,Flyoo Prao AE-F c0 A,K (Yellow-Orange) Star,K9,Va,12893,Flyoo Prao AE-F c0 A,K (Yellow-Orange) Star,,,Flyoo Prao AE-F c0 A 8,no,planetary,Water world,0,"",250.2328948975,Candidate for terraforming,3796.7445,0.2165530026,0.611097455,260,0.085605309726,No volcanism,Thin Oxygen,-0.58356,168.704054636169,no,168.70357234169,0.50114172213,0.000937,-1.028565,206.251533,,,22819.5,-211,39930.3,2022-02-25 18:43:22
Flyoo Prao AF-X d2-4,D,single,A (Blue-White) Star,A4,VI,1554,Flyoo Prao AF-X d2-4,A (Blue-White) Star,A4,VI,1554,Flyoo Prao AF-X d2-4,A (Blue-White) Star,,,Flyoo Prao AF-X d2-4 8,no,planetary,Water world,1,"Metal Rich (1)",3240.0434570313,Not terraformable,9602.525,4.9682102203,2.191785574,493,38.590140636566,Major Silicate Vapour Geysers,Thick Carbon dioxide,-0.067267,1.363156174491,no,301.626303957569,0.068241958574,0.120399,8.562443,191.050759,,,22844.1,-215.594,40213.9,2022-03-07 01:23:36
Flyoo Prao AG-N d7-1,D,multiple,F (White) Star,F9,VI,2132,Flyoo Prao AG-N d7-1 B,F (White) Star,F8,Vb,2132,Flyoo Prao AG-N d7-1 B,F (White) Star,,,Flyoo Prao AG-N d7-1 B 1,no,planetary,Earth-like world,0,"",149403.5,Not terraformable,4312.2695,0.3238739967,0.7084893584,301,0.66189165433,No volcanism,Suitable for water-based life,0.163505,1.989095745347,no,688.044547482778,1.525405572526,0.001824,0.00511,241.337621,,,22368.4,-718.344,40568.8,2022-04-18 23:03:06
Flyoo Prao AG-N d7-1,D,multiple,F (White) Star,F9,VI,2132,Flyoo Prao AG-N d7-1 B,F (White) Star,F8,Vb,2132,Flyoo Prao AG-N d7-1 B,F (White) Star,,,Flyoo Prao AG-N d7-1 B 3,no,planetary,Water world,0,"",150249.46875,Not terraformable,4372.9515,0.3387779891,0.7206674814,255,0.237620319822,No volcanism,Nitrogen,-0.586572,0.540311746019,no,1695.76807982396,2.783248062755,0.000957,0.003761,128.367514,,,22368.4,-718.344,40568.8,2022-04-18 23:03:02
Flyoo Prao AG-W c18-0,C,multiple,K (Yellow-Orange) Star,K8,Va,5330,Flyoo Prao AG-W c18-0 C,M (Red dwarf) Star,M6,Va,5330,Flyoo Prao AG-W c18-0 C,M (Red dwarf) Star,,,Flyoo Prao AG-W c18-0 C 5,no,planetary,Water world,0,"",1934.5501708984,Candidate for terraforming,3631.25175,0.1870969981,0.5771957636,254,0.005878325552,No volcanism,Thin Carbon dioxide-rich,0.079971,50.851058984861,no,50.850596830799,0.171834162115,0.001071,-2.270783,340.208762,,,21888.8,-136.75,40723.4,2021-08-08 15:06:28
Flyoo Prao AG-X d1-0,D,multiple,A (Blue-White) Star,A3,VI,1850,Flyoo Prao AG-X d1-0 B,K (Yellow-Orange) Star,K5,Vab,1850,Flyoo Prao AG-X d1-0 B,K (Yellow-Orange) Star,,,Flyoo Prao AG-X d1-0 B 7,no,planetary,Water world,0,"",13311.8974609375,Candidate for terraforming,5820.309,0.8628020287,1.0351608992,348,6.676702442635,Major Rocky Magma,Thick Ammonia,0.421887,1.062050157188,no,1411.03489807359,2.013523004329,0.03184,0.116788,167.473465,,,21721.7,-959.188,40125.3,2021-05-07 17:39:04
Flyoo Prao AH-J d10-0,D,multiple,A (Blue-White) Star,A7,Vab,438,Flyoo Prao AH-J d10-0 A,A (Blue-White) Star,A7,Vab,438,Flyoo Prao AH-J d10-0 A,A (Blue-White) Star,,,Flyoo Prao AH-J d10-0 A 6,no,planetary,Water world,0,"",3335.5649414063,Not terraformable,3285.881,0.1363089979,0.5135584474,257,0.160330474377,No volcanism,Carbon dioxide,0.344248,0.889357271215,no,288.896193658866,0.004438136967,0.180507,-1.787748,105.770841,,,22509.6,-178.375,40775.6,2021-08-04 18:50:42
Flyoo Prao AH-J d10-1,D,multiple,F (White) Star,F1,Vb,974,Flyoo Prao AH-J d10-1 A,F (White) Star,F1,Vb,974,Flyoo Prao AH-J d10-1 A,F (White) Star,,,Flyoo Prao AH-J d10-1 A 6,no,planetary,Water world,0,"",2206.0598144531,Not terraformable,3284.3495,0.1381230056,0.520878315,257,0.21979111433,No volcanism,Carbon dioxide-rich,0.226832,0.751378310938,no,2600.11286095336,4.426268780141,0.002584,-3.291741,242.653504,,,22504.3,-175.156,40784,2021-08-04 18:59:46
Flyoo Prao AH-J d10-5,D,single,A (Blue-White) Star,A6,VI,2640,Flyoo Prao AH-J d10-5,A (Blue-White) Star,A6,VI,2640,Flyoo Prao AH-J d10-5,A (Blue-White) Star,,,Flyoo Prao AH-J d10-5 6,no,planetary,Water world,0,"",3068.0041503906,Not terraformable,3804.597,0.217741996,0.6119189858,249,0.416198253632,No volcanism,Carbon dioxide,-0.227814,2.694469925509,no,4364.2009022059,6.154796366489,0.002892,0.000314,347.090126,,,22528.6,-158.375,40782.9,2021-08-04 19:10:08
Flyoo Prao AH-K d9-1,D,single,K (Yellow-Orange) Star,K0,Va,338,Flyoo Prao AH-K d9-1,K (Yellow-Orange) Star,K0,Va,338,Flyoo Prao AH-K d9-1,K (Yellow-Orange) Star,,,Flyoo Prao AH-K d9-1 3,no,planetary,Water world,0,"",751.728515625,Not terraformable,4212.5795,0.3019030094,0.6920543909,270,0.147529501683,No volcanism,Carbon dioxide-rich,0.07841,1.316465368947,no,712.565787964398,1.506647213836,0.000208,0.706167,241.870061,,,22178.9,-499.594,40705.8,2022-08-07 10:00:31
Flyoo Prao AH-S d5-12,D,multiple,A (Blue-White) Star,A5,VI,784,Flyoo Prao AH-S d5-12 A,A (Blue-White) Star,A5,VI,784,Flyoo Prao AH-S d5-12 A,A (Blue-White) Star,,,Flyoo Prao AH-S d5-12 A 4,no,planetary,Water world,0,"",2075.1901855469,Candidate for terraforming,6251.681,1.091858983,1.1364281178,398,7.410228252411,No volcanism,Thick Ammonia,-0.103501,1.64385689213,no,2369.29173546806,4.157150376967,0.000789,-2.242873,56.269837,,,22198.6,-53.4062,40424.9,2020-11-09 02:27:05
Flyoo Prao AH-S d5-12,D,multiple,A (Blue-White) Star,A5,VI,784,Flyoo Prao AH-S d5-12 B,A (Blue-White) Star,A8,Vb,784,Flyoo Prao AH-S d5-12 B,A (Blue-White) Star,,,Flyoo Prao AH-S d5-12 B 6,no,planetary,Water world,0,"",181843.09375,Candidate for terraforming,7957.1385,2.5238010883,1.6214752197,353,15.822793960571,Metallic Magma,Thick Ammonia,2.869412,1.824904724641,no,2706.30950453102,4.539089149164,0.000373,0.40061,235.617737,,,22198.6,-53.4062,40424.9,2020-11-09 01:02:06
Flyoo Prao AH-S d5-3,D,multiple,A (Blue-White) Star,A4,VI,2268,Flyoo Prao AH-S d5-3 A,A (Blue-White) Star,A4,VI,2268,Flyoo Prao AH-S d5-3 A 4,High metal content world,no,yes,Flyoo Prao AH-S d5-3 A 4 a,no,moon,Water world,0,"",1887.9543457031,Candidate for terraforming,3683.83825,0.1664890051,0.4990608096,284,0.036495737731,No volcanism,Thin Carbon dioxide-rich,0.179554,147.711821827604,no,142.356166961019,0.010217752932,0,9.404177,29.105622,,,22196.2,-94.4688,40375.6,2020-11-08 05:33:29
Flyoo Prao AH-S d5-3,D,multiple,A (Blue-White) Star,A4,VI,2268,Flyoo Prao AH-S d5-3 A,A (Blue-White) Star,A4,VI,2268,Flyoo Prao AH-S d5-3 A,A (Blue-White) Star,,,Flyoo Prao AH-S d5-3 A 5,no,planetary,Water world,0,"",3483.9609375,Not terraformable,8814.512,3.6389660835,1.905243516,462,30.612424850464,Major Silicate Vapour Geysers,Thick Carbon dioxide,0.032024,1.216247954352,no,5127.46611127141,6.981754770849,2.4999999368e-05,0.031598,270.691994,,,22196.2,-94.4688,40375.6,2020-11-08 21:07:08
Flyoo Prao AH-S d5-9,D,single,A (Blue-White) Star,A8,Vab,592,Flyoo Prao AH-S d5-9,A (Blue-White) Star,A8,Vab,592,Flyoo Prao AH-S d5-9,A (Blue-White) Star,,,Flyoo Prao AH-S d5-9 6,no,planetary,Water world,0,"",2604.7243652344,Not terraformable,7100.9945,1.6882580519,1.3619761467,317,10.871353149414,Minor Metallic Magma,Thick Ammonia,-0.241754,0.462498040532,no,3271.75262349618,5.213400714418,0.002041,0.242862,193.745966,,,22177.9,-48.3438,40392.5,2020-11-08 23:45:17
Flyoo Prao AI-H d11-1,D,multiple,G (White-Yellow) Star,G2,Vab,3982,Flyoo Prao AI-H d11-1 A,G (White-Yellow) Star,G2,Vab,3982,Flyoo Prao AI-H d11-1 A,G (White-Yellow) Star,,,Flyoo Prao AI-H d11-1 A 5,no,planetary,Water world,0,"",1059.3161621094,Candidate for terraforming,3792.26575,0.2149969935,0.6081404686,247,0.094888325389,No volcanism,Thin Carbon dioxide-rich,-0.420202,0.895951599826,no,1138.05694574559,2.130627956448,0.004035,-1.527957,196.472007,,,22031.8,-254.062,40856,2022-03-09 18:33:18
Flyoo Prao AI-H d11-7,D,multiple,G (White-Yellow) Star,G7,Va,3474,Flyoo Prao AI-H d11-7 A,G (White-Yellow) Star,G7,Va,3474,Flyoo Prao AI-H d11-7 A,G (White-Yellow) Star,,,Flyoo Prao AI-H d11-7 A 4,no,planetary,Water world,0,"",862.309753418,Not terraformable,4455.199,0.3464800119,0.7100893259,278,4.710338021219,No volcanism,Argon-rich,0.30402,0.564232036863,no,849.452131876238,1.727597963777,0.000333,0.756164,101.370072,,,22079.1,-192.469,40879,2022-03-09 22:37:10
Flyoo Prao AI-I d10-2,D,single,F (White) Star,F1,Vb,1990,Flyoo Prao AI-I d10-2,F (White) Star,F1,Vb,1990,Flyoo Prao AI-I d10-2,F (White) Star,,,Flyoo Prao AI-I d10-2 5,no,planetary,Water world,0,"",1274.8322753906,Candidate for terraforming,4041.67225,0.2612459958,0.6505736709,365,0.597056308601,No volcanism,Carbon dioxide,0.141581,0.659597136505,no,1267.28808714282,2.584386566711,0.013373,0.03665,349.234331,,,21719.9,-581.375,40790.9,2022-08-22 17:13:02
Flyoo Prao AI-I d10-2,D,single,F (White) Star,F1,Vb,1990,Flyoo Prao AI-I d10-2,F (White) Star,F1,Vb,1990,Flyoo Prao AI-I d10-2,F (White) Star,,,Flyoo Prao AI-I d10-2 6,no,planetary,Water world,0,"",1746.8306884766,Not terraformable,4336.7495,0.3275150061,0.708388567,272,0.560010871582,No volcanism,Nitrogen,-0.210303,1.528834750023,no,1997.20629111481,3.499901840367,0.000215,-0.15886,52.937303,,,21719.9,-581.375,40790.9,2022-08-22 17:08:40
Flyoo Prao AI-I d10-2,D,single,F (White) Star,F1,Vb,1990,Flyoo Prao AI-I d10-2,F (White) Star,F1,Vb,1990,Flyoo Prao AI-I d10-2,F (White) Star,,,Flyoo Prao AI-I d10-2 7,no,planetary,Water world,0,"",2404.1062011719,Not terraformable,4054.2595,0.263857007,0.6530020833,271,0.664736537755,No volcanism,Carbon dioxide,-0.4525,1.501555668206,no,3225.65319085567,4.817839855813,0.000103,0.280199,182.173976,,,21719.9,-581.375,40790.9,2022-08-22 17:19:33
Flyoo Prao AI-Q d6-0,D,single,F (White) Star,F4,VI,706,Flyoo Prao AI-Q d6-0,F (White) Star,F4,VI,706,Flyoo Prao AI-Q d6-0,F (White) Star,,,Flyoo Prao AI-Q d6-0 5,no,planetary,Water world,0,"",908.0902099609,Not terraformable,7761.0315,2.3096749783,1.559843421,415,14.757836170738,Metallic Magma,Thick Ammonia,-0.478704,1.984576407315,no,807.966291904444,1.83086862437,0.006044,0.33006,154.928481,,,21695.6,-180.312,40461.2,2022-02-22 21:10:40
Flyoo Prao AI-Q d6-3,D,multiple,A (Blue-White) Star,A9,VI,1358,Flyoo Prao AI-Q d6-3 A,A (Blue-White) Star,A9,VI,1358,Flyoo Prao AI-Q d6-3 A,A (Blue-White) Star,,,Flyoo Prao AI-Q d6-3 A 4,no,planetary,Water world,0,"",1742.1429443359,Candidate for terraforming,5467.656,0.7095749974,0.9655281901,357,2.234403836664,Major Rocky Magma,Nitrogen,-1.729887,1.418912777315,no,2012.21224334502,3.491668512879,0.000275,3.514296,276.084316,,,21730.8,-137.969,40467.8,2022-02-22 21:17:13
Flyoo Prao AI-Q d6-6,D,single,K (Yellow-Orange) Star,K1,Va,340,Flyoo Prao AI-Q d6-6,K (Yellow-Orange) Star,K1,Va,340,Flyoo Prao AI-Q d6-6,K (Yellow-Orange) Star,,,Flyoo Prao AI-Q d6-6 4,no,planetary,Water world,0,"",867.9275512695,Not terraformable,3779.82,0.2121499926,0.6040457487,257,0.74859386566,No volcanism,Carbon dioxide,0.02457,1.011194036215,no,873.813467721146,1.741024698759,0.002171,0.350526,75.301647,,,21709.5,-135.375,40529.7,2022-02-22 21:26:49
Flyoo Prao AI-Q d6-7,D,single,G (White-Yellow) Star,G2,Vab,1170,Flyoo Prao AI-Q d6-7,G (White-Yellow) Star,G2,Vab,1170,Flyoo Prao AI-Q d6-7,G (White-Yellow) Star,,,Flyoo Prao AI-Q d6-7 6,no,planetary,Water world,0,"",1066.9451904297,Not terraformable,3471.39075,0.1564940065,0.5282745957,217,0.099630935031,No volcanism,Carbon dioxide-rich,0.278328,1.189920318044,no,1092.087380864,2.138501658816,0.00847,1.099799,15.677156,,,21748,-108.875,40524.5,2022-02-22 21:29:05
Flyoo Prao AK-A d0,D,multiple,White Dwarf (DC) Star,,VII,13039,Flyoo Prao AK-A d0 C,T (Brown dwarf) Star,T3,V,13039,Flyoo Prao AK-A d0 C,T (Brown dwarf) Star,,,Flyoo Prao AK-A d0 C 1,no,planetary,Water world,0,"",16064.080078125,Not terraformable,13198.214,7.6782422066,1.7930834293,415,3511.1650390625,Major Water Geysers,Thick Argon-rich,-0.443043,5.808038007222,yes,5.80696706419,0.025096366963,0.167917,69.741822,258.929271,,,22049,-1119.38,39899.4,2021-03-25 19:36:44
Flyoo Prao AL-M d8-3,D,single,G (White-Yellow) Star,G4,Vab,3374,Flyoo Prao AL-M d8-3,G (White-Yellow) Star,G4,Vab,3374,Flyoo Prao AL-M d8-3,G (White-Yellow) Star,,,Flyoo Prao AL-M d8-3 2,no,planetary,Water world,0,"",619.0147094727,Not terraformable,8143.856,2.7494819164,1.686396718,387,17.400973353072,Metallic Magma,Thick Ammonia,-0.883808,1.742124813692,no,481.012256609074,1.240923255842,0.000495,-0.229647,176.579258,,,22875.7,-327.75,40621.7,2022-06-12 19:19:50
Flyoo Prao AL-V d3-2,D,multiple,F (White) Star,F0,Vb,2850,Flyoo Prao AL-V d3-2 A,F (White) Star,F0,Vb,2850,Flyoo Prao AL-V d3-2 A,F (White) Star,,,Flyoo Prao AL-V d3-2 A 4,no,planetary,Water world,0,"",2444.4443359375,Candidate for terraforming,6231.9955,1.084272027,1.1356722116,245,0.684897066992,Major Rocky Magma,Nitrogen,-0.154456,1.416671794618,no,461.785053765336,0.008228944333,0.164174,7.153473,24.556979,,,22541.1,-232.125,40278.4,2022-03-10 23:00:47
