timestamp,Name_Localised,System
2000-01-08T45,Tube Worms,Eorl Auwsy GM-D d12-197
2000-01-08T46,Tube Worms,Dryuae Auscs TI-S d4-9
2000-01-08T47,Tube Worms,Hypiae Aoc YO-I d9-3614
2000-01-08T48,Tube Worms,Zunao FV-Y d2959
2000-01-08T49,Tube Worms,Byoomao KV-E c28-5973
2000-01-08T50,Tube Worms,Leamuae VT-Y d1-1513
2000-01-08T51,Tube Worms,Juenae WV-C d3665
2000-01-08T52,Tube Worms,Juenae XW-A b5-150
2000-01-08T53,Tube Worms,Stuemeae YQ-C d281
2000-01-08T54,Tube Worms,Juenae LD-A d1-4951
2000-01-08T55,Tube Worms,Hypio Pri PU-N c23-2277
2000-01-08T56,Tube Worms,Egnaiwn YE-A e538
2000-01-08T57,Tube Worms,Hypoe Flyi FC-J d10-6620
2000-01-08T58,Tube Worms,Hypoe Flyi GC-J d10-1502
2000-01-08T59,Tube Worms,Hypio Pri CE-E d13-5642
2000-01-08T60,Tube Worms,Dumbae NM-W d1-6521
2000-01-08T61,Tube Worms,Stuemeae AF-R b4-28
2000-01-08T62,Tube Worms,Phua Aub PA-A d1339
2000-01-08T63,Tube Worms,Phua Aub ZQ-P c5-605
2000-01-08T64,Tube Worms,Stuemeae BA-A d8798
2000-01-08T65,Tube Worms,Juenae ZQ-C d5079
2000-01-08T66,Tube Worms,Juenae CH-C d5090
2000-01-08T67,Tube Worms,Zunuae SY-X c2-2442
2000-01-08T68,Tube Worms,Stuemeae MS-U d2-6218
2000-01-08T69,Tube Worms,Phroi Pri MH-P c8-6420
2000-01-08T70,Tube Worms,Stuemeae PD-J c9-7914
2000-01-08T71,Tube Worms,Stuemeae AW-E c11-558
2000-01-08T72,Tube Worms,Myrielk HC-D d12-4176
2000-01-08T73,Tube Worms,Stuemeae CA-A c8640
2000-01-08T74,Tube Worms,Stuemeae KI-R d5-3232
2000-01-08T75,Tube Worms,Stuemeae FG-Y d8450
2000-01-08T76,Tube Worms,Juenae SW-F c3086
2000-01-08T77,Tube Worms,Phua Aub FS-N c6-2864
2000-01-08T78,Tube Worms,Stuemeae IP-B c2-1446
2000-01-08T79,Tube Worms,Phaa Briae PU-E d12-249
2000-01-08T80,Tube Worms,Stuemeae EA-A c7963
2000-01-08T81,Tube Worms,Stuemeae BA-A d7798
2000-01-08T82,Tube Worms,Phua Aub BN-D c12-4871
2000-01-08T83,Tube Worms,Lyaisua SA-E c12-3283
2000-01-08T84,Tube Worms,Byoomeae NY-R e4-4985
2000-01-08T85,Tube Worms,Phroea Prao TI-J c25-650
2000-01-08T86,Tube Worms,Dryoi Graei QO-X d2-4
2000-01-08T87,Tube Worms,Agnairy MN-Q d6-7736
2000-01-08T88,Tube Worms,Phraa Flyuae ZA-E c28-4359
2000-01-08T89,Tube Worms,Eephaim HF-C d14-2252
2000-01-08T90,Tube Worms,Ogaiws BH-J d10-849
